timestamp,account_balance,account_equity,account_margin,account_free_margin,account_margin_level,starting_balance,realized_pnl,unrealized_pnl,total_pnl,total_trades,winning_trades,losing_trades,breakeven_trades,active_positions,positions_opened_total,gross_profit,gross_loss,net_profit,avg_win,avg_loss,largest_win,largest_loss,win_rate,profit_factor,expectancy,avg_trade_duration,median_trade_duration,shortest_trade,longest_trade,trades_per_hour,trades_today,daily_pnl,weekly_pnl,monthly_pnl,max_drawdown_pct,max_drawdown_abs,current_drawdown_pct,current_drawdown_abs,max_drawdown_duration_seconds,current_drawdown_duration_seconds,drawdown_recovery_time_seconds,drawdown_frequency_per_hour,avg_drawdown_pct,peak_equity,trough_equity,equity_curve_slope,risk_reward_ratio,median_risk_reward,rr_count,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,k_ratio,recovery_factor,ulcer_index,rolling_sharpe_50,rolling_sharpe_100,var_95,avg_slippage_pips,median_slippage_pips,max_slippage_pips,avg_execution_time_ms,median_execution_time_ms,max_execution_time_ms,fill_rate_pct,order_rejection_rate_pct,partial_fills,requotes,orders_total,orders_filled,signals_generated_total,signals_approved_total,signals_rejected_total,signal_approval_rate_pct,sma_crossover_signals,rsi_signals,macd_signals,combined_signals,spread_rejections,position_limit_rejections,drawdown_limit_rejections,exposure_limit_rejections,daily_loss_limit_rejections,strategy_sma_trades,strategy_momentum_trades,strategy_mean_reversion_trades,exit_tp_count,exit_sl_count,exit_trailing_count,exit_manual_count,open_positions_count,open_positions_volume,long_positions_count,short_positions_count,long_exposure_usd,short_exposure_usd,net_exposure_usd,max_concurrent_positions,avg_position_size_lots,position_sizing_factor,symbol_trades_total,symbol_winning_trades,symbol_win_rate_pct,symbol_realized_pnl,symbol_unrealized_pnl,symbol_open_positions,symbol_exposure_usd,symbol_avg_trade_pnl,session_asian_trades,session_european_trades,session_us_trades,session_overlap_trades,hour_00_04_trades,hour_04_08_trades,hour_08_12_trades,hour_12_16_trades,hour_16_20_trades,hour_20_24_trades,system_uptime_seconds,mt5_connected,mt5_connection_uptime_seconds,mt5_reconnections,cpu_usage_pct,memory_usage_mb,memory_usage_pct,disk_usage_gb,network_latency_ms,api_calls_per_minute,errors_total,warnings_total,critical_errors_total,last_error_timestamp,system_restarts,drawdown_state,position_sizing_adjustment,adaptive_sl_distance_pips,adaptive_tp_distance_pips,trailing_stop_active,breakeven_stop_active,survival_mode_active,recovery_mode_active,overall_grade,win_rate_grade,profit_factor_grade,drawdown_grade,sharpe_grade
2025-12-30T23:18:51.765515+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.008698463439941406,0,0.0,0,0.0,22.79296875,0.14635871555490898,193.56630325317383,0.0,0.0,0,0,0,,0,normal,1.0,0.0,0.0,0,0,0,0,,,,,
2025-12-30T23:18:52.872275+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.1154587268829346,0,0.0,0,0.0,22.81640625,0.14650921294879576,193.56633377075195,0.0,0.0,0,0,0,,0,normal,1.0,0.0,0.0,0,0,0,0,,,,,
2025-12-30T23:18:53.975883+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.2190659046173096,0,0.0,0,0.0,22.81640625,0.14650921294879576,193.56633377075195,0.0,0.0,0,0,0,,0,normal,1.0,0.0,0.0,0,0,0,0,,,,,
2025-12-30T23:18:55.079259+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3.3224422931671143,0,0.0,0,0.0,22.81640625,0.14650921294879576,193.56633758544922,0.0,0.0,0,0,0,,0,normal,1.0,0.0,0.0,0,0,0,0,,,,,
2025-12-30T23:18:56.182583+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4.425766468048096,0,0.0,0,0.0,22.81640625,0.14650921294879576,193.56637573242188,0.0,0.0,0,0,0,,0,normal,1.0,0.0,0.0,0,0,0,0,,,,,
2025-12-30T23:18:57.285144+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5.528327226638794,0,0.0,0,0.0,22.81640625,0.14650921294879576,193.56634140014648,0.0,0.0,0,0,0,,0,normal,1.0,0.0,0.0,0,0,0,0,,,,,
2025-12-30T23:18:58.387919+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6.6311023235321045,0,0.0,0,0.0,22.81640625,0.14650921294879576,193.56634140014648,0.0,0.0,0,0,0,,0,normal,1.0,0.0,0.0,0,0,0,0,,,,,
2025-12-30T23:18:59.491998+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7.7351813316345215,0,0.0,0,0.0,22.87890625,0.1469105393324939,193.56634140014648,0.0,0.0,0,0,0,,0,normal,1.0,0.0,0.0,0,0,0,0,,,,,
2025-12-30T23:19:00.596014+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8.839197397232056,0,0.0,0,16.6,22.87890625,0.1469105393324939,193.56634140014648,0.0,0.0,0,0,0,,0,normal,1.0,0.0,0.0,0,0,0,0,,,,,
2025-12-30T23:19:01.699561+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,9.942744255065918,0,0.0,0,0.0,22.87890625,0.1469105393324939,193.5561866760254,0.0,0.0,0,0,0,,0,normal,1.0,0.0,0.0,0,0,0,0,,,,,
