timestamp,process_pid,process_name,process_status,process_threads,process_cpu_percent,process_memory_mb,process_memory_percent,child_process_count,child_cpu_total,child_memory_total_mb,system_cpu_percent,system_cpu_count_logical,system_cpu_count_physical,system_cpu_freq_current,system_cpu_freq_max,system_memory_total_gb,system_memory_available_gb,system_memory_used_gb,system_memory_percent,system_memory_cached_gb,disk_total_gb,disk_used_gb,disk_free_gb,disk_percent,disk_read_mb,disk_write_mb,network_sent_mb,network_recv_mb,network_connections,network_connections_established,load_avg_1min,load_avg_5min,load_avg_15min,workload_tasks_pending,workload_tasks_running,workload_tasks_completed,workload_queue_size,threadpool_size,threadpool_active,threadpool_idle,perf_loop_rate_hz,perf_avg_loop_time_ms,perf_max_loop_time_ms,perf_gc_collections,perf_gc_time_ms,files_open,files_max,files_percent,db_connections_active,db_connections_idle,db_pool_size,api_mt5_connected,api_mt5_latency_ms,api_rate_limit_remaining,errors_total,errors_last_hour,warnings_total,warnings_last_hour,exceptions_total,exceptions_last_hour,system_uptime_seconds,process_uptime_seconds,cpu_temp_celsius,gpu_temp_celsius
2025-12-30T23:53:59.938672+00:00,29896,python.exe,running,24,2.4,95.359375,0.6123237299274101,1,0.0,22.53515625,1.2,12,6,3301.0,3301.0,15.208358764648438,3.4073486328125,11.801010131835938,77.6,0.0,952.1718711853027,193.60761642456055,758.5642547607422,20.3,10.1630859375,13.4296875,0.2602519989013672,0.18967247009277344,99,19,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,157944.7798075676,52.674663066864014,0.0,0.0
2025-12-30T23:54:05.152398+00:00,29896,python.exe,running,24,2.7,95.359375,0.6123237299274101,1,0.0,22.53515625,16.7,12,6,3301.0,3301.0,15.208358764648438,3.49951171875,11.708847045898438,77.0,0.0,952.1718711853027,193.6093292236328,758.5625419616699,20.3,10.5185546875,15.3359375,0.28064727783203125,0.20719528198242188,98,19,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,157949.99916434288,57.89401984214783,0.0,0.0
2025-12-30T23:54:10.370793+00:00,29896,python.exe,running,21,9.9,95.3203125,0.6120729009375988,1,0.0,22.48046875,14.3,12,6,3301.0,3301.0,15.208358764648438,3.493396759033203,11.714962005615234,77.0,0.0,952.1718711853027,193.6110496520996,758.5608215332031,20.3,10.6708984375,17.2421875,0.33010292053222656,0.2262563705444336,99,20,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,157955.22582435608,63.12067985534668,0.0,0.0
2025-12-30T23:54:15.602242+00:00,29896,python.exe,running,21,2.1,95.3203125,0.6120729009375988,1,0.0,22.48046875,20.2,12,6,3301.0,3301.0,15.208358764648438,3.2908363342285156,11.917522430419922,78.4,0.0,952.1718711853027,193.61105728149414,758.5608139038086,20.3,34.97998046875,21.97265625,0.7963628768920898,0.29686641693115234,99,20,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,157960.47315645218,68.36801195144653,0.0,0.0
2025-12-30T23:54:20.845892+00:00,29896,python.exe,running,21,2.1,95.3203125,0.6120729009375988,1,0.0,22.48046875,47.6,12,6,3301.0,3301.0,15.208358764648438,3.114765167236328,12.09359359741211,79.5,0.0,952.1718711853027,193.61135864257812,758.5605125427246,20.3,90.5908203125,27.9921875,0.8362579345703125,0.3510551452636719,102,21,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,157965.74445939064,73.63931488990784,0.0,0.0
2025-12-30T23:54:26.117424+00:00,29896,python.exe,running,21,16.6,95.9140625,0.6158855015827309,1,0.0,22.48046875,50.6,12,6,3301.0,3301.0,15.208358764648438,3.181537628173828,12.02682113647461,79.1,0.0,952.1718711853027,193.61028289794922,758.5615882873535,20.3,96.1044921875,33.578125,1.2995128631591797,0.3799400329589844,104,23,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,157971.00129556656,78.89615106582642,0.0,0.0
2025-12-30T23:54:31.375483+00:00,29896,python.exe,running,21,3.0,95.9140625,0.6158855015827309,1,0.0,22.48046875,30.1,12,6,3301.0,3301.0,15.208358764648438,3.1509666442871094,12.057392120361328,79.3,0.0,952.1718711853027,193.61030960083008,758.5615615844727,20.3,96.6708984375,34.2734375,1.3329238891601562,0.41029834747314453,107,23,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,157976.27086925507,84.1657247543335,0.0,0.0
2025-12-30T23:54:36.641602+00:00,29896,python.exe,running,21,3.0,95.9140625,0.6158855015827309,1,0.0,22.48046875,60.8,12,6,3301.0,3301.0,15.208358764648438,3.108531951904297,12.09982681274414,79.6,0.0,952.1718711853027,193.61202239990234,758.5598487854004,20.3,96.9287109375,36.5,1.3762340545654297,0.44248199462890625,102,18,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,157981.52874588966,89.42360138893127,0.0,0.0
2025-12-30T23:54:41.899202+00:00,29896,python.exe,running,21,17.3,93.94140625,0.6032186375972589,1,0.0,22.48046875,27.9,12,6,3301.0,3301.0,15.208358764648438,3.1125640869140625,12.095794677734375,79.5,0.0,952.1718711853027,193.61208724975586,758.5597839355469,20.3,97.1865234375,36.84375,1.3926773071289062,0.45354557037353516,102,18,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,157986.76507139206,94.6599268913269,0.0,0.0
2025-12-30T23:54:47.139979+00:00,29896,python.exe,running,21,2.4,94.75390625,0.6084358805853346,1,0.0,22.48046875,16.7,12,6,3301.0,3301.0,15.208358764648438,3.1405067443847656,12.067852020263672,79.4,0.0,952.1718711853027,193.61209106445312,758.5597801208496,20.3,97.5537109375,37.10546875,1.4121694564819336,0.46829986572265625,100,18,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,157992.03205299377,99.92690849304199,0.0,0.0
