timestamp,pids,cpu_delta_s,mem_mb,errors_delta,errors_total,trades_delta,trades_total,restarts_total,log_bytes
2025-12-29T11:46:42.4806462+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:46:52.5504025+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:47:02.6367003+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:47:12.7269865+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:47:22.8175599+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:47:32.9172201+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:47:43.0120853+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:47:53.1122972+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:48:03.1877262+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:48:13.2607696+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:48:23.3447617+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:48:33.4442976+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:48:43.5227309+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:48:53.5886272+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:49:03.6648296+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:49:13.7510636+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:49:23.8555099+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:49:33.9352569+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:49:44.0046742+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:49:54.1021291+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:50:04.1967435+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:50:14.2916128+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:50:24.3737051+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:50:34.4467985+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:50:44.5212572+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:50:54.6053882+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:51:04.6831003+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:51:14.7725504+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:51:24.8396164+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:51:34.9131984+05:00,,0,0,0,13,0,6,4,323564
